url,location,date,collected_at,processed,timestamp,last_update
/vaga-de-terapeuta-ocupacional-pediatrica-em-__10179765.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:39:08,False,,2024-12-12 22:39:08.411567
/vaga-de-almoxarife-obras-em-__10179758.aspx,Todo Brasil,2024-12-12 03:54:00,2024-12-12 22:40:43,False,,2024-12-12 22:41:18.147870
/vaga-de-enfermeiro-uti-adulto-meier-rj-em-rio-janeiro__10179752.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:52:00,2024-12-12 22:40:43,False,,2024-12-12 22:41:18.147870
/vaga-de-auxiliar-limpeza-em-rio-janeiro__10179689.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:43:02,2024-12-12 22:40:43,False,,2024-12-12 22:41:18.147870
/vaga-de-auxiliar-cozinha-habibs-pilares-em-rio-janeiro__10179699.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:42:00,2024-12-12 22:40:43,False,,2024-12-12 22:41:18.147870
/vaga-de-balconista-padaria-em-rio-janeiro__10179544.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:40:25,2024-12-12 22:40:43,False,,2024-12-12 22:41:18.147870
/vaga-de-pintor-em-rio-janeiro__10179665.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:36:00,2024-12-12 22:40:44,False,,2024-12-12 22:41:18.147870
"/vaga-de-consultora-vendas-disse,-berenice-norte-shopping-rj-em-rio-janeiro__10179640.aspx","Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:34:00,2024-12-12 22:40:44,False,,2024-12-12 22:41:18.147870
/vaga-de-serralheiro-em-rio-janeiro__10179635.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:33:00,2024-12-12 22:40:44,False,,2024-12-12 22:41:18.147870
/vaga-de-camareiro-em-__9941994.aspx,Todo Brasil,2024-12-12 03:29:00,2024-12-12 22:40:44,False,,2024-12-12 22:41:18.147870
/vaga-de-operador-estacionamento-midtown-em-rio-janeiro__9723831.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:24:00,2024-12-12 22:40:44,False,,2024-12-12 22:41:18.147870
/vaga-de-operador-empilhadeira-atacadao-em-rio-janeiro__10179502.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 03:15:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
/vaga-de-promotor-vendasrepositor-em-__10179425.aspx,Todo Brasil,2024-12-12 03:01:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
/vaga-de-corporativo-nutricionista-qualidade-restaurantesfast-food-em-rio-janeiro__10179381.aspx,"Rio de Janeiro - RJ, 0 Km de você.",2024-12-12 02:56:00,2024-12-12 22:40:59,False,,2024-12-12 22:41:18.147870
